Sentence,Neutral (N) / Hostile (H)
karachi ke nojawan ko hollywood mein hero ka kirdaar mil gaya,N
bharat ke iqdamaat khitey ko naqabil e hadd tak ghair mustehkam ker skatey hein,H
pakistan china ke sath har azmaish per pura utarney wali munfarid dosti ko qadar se dekhta hai,N
cheen ki taraf se qoumi salamati ke amoor per pakistan ki himayat intehai ahem hai,N
bharat apney jaraim se dunya ki tawajjuh hataney ke liye jhootey hamley ka drama ker sakta hai,H
mujhe kaaley logon se nafrat hai,H
gas aur bijli ke bills jama kraney ki muddat barha ker 15 din kernay ka faisla kiya gaya hai,N
peshawar mein kafi arsey se band sikhon ka gurdwarah khol diya gaya,N
"1953 ke baad pehli bar secretariat per hindustan ka jhanda lehraya gaya, kashmiriyon ne is per ehtijaj kiya",H
pakistan nojawan program ke tehat 100 arab rupey ke qarzey diye jayen gey,N
ali zaidi ne naalon se kachra nikal ker shehar mein phela diya,H
"aleema khan ki arbon rupey ki property saabit ho gayi hai, unke khilaf kuch nahi huwa",H
khalid maqbool ko chahiye ke wasim akhtar se isteefa lein aur unki party rukniyat bhi muattal kren,H
karachi walon ka mazak uraya ja raha hai,H
mayor karachi ko 15 arab rupey ka hisab dena hoga,H
safai ke maamley ko le ker karachi ke sath khilwaar huwa hai,H
nawaz sharif ko kuch huwa to imran niazi aur punjab government mujrim hun gey,H
"gujrat ke qasai apki duaon ka samar hai, kashmir ka soda ho chuka hai",H
aap se NRO mang kon raha hai? ehtisaab nahi aap inteqaam le rahey hein,H
"ye hakumat tung nazar hai, aap ko NRO ki beemari ho gayi hai",H
expose ho janey ke baad mayor aur charon district chairmanon ko isteefa de dena chahiye,H
wazeer e azam sahab! mulk ki muashi taaqat karachi ko corruption tabah ker rahi hai,H
"hamen kehtey hein office aao, arey bhai kachra sarkon per hai office ja ker kaya karun ga",H
"office ke thandey kamrey mein paison ki taqseem hoti hai, sarkon per to nahi ho sakti",H
"hitler ne jo jurm kiya, modi sarkar usi nazarye per amal paira hai. ab bhi dunya khamosh rahi to tareekh ki sab se bari mujrimana ghaflat hogi",H
UAE ne gandhi ki 150 veen salgirah per daak ticket jaari ker diye,N
bharat kashmiriyon ki naqal makaani aur nasal kashi chahta hai,H
"hazaron kashmiri curfew tor ker bahir nikal aye, jab ke bharti fouj ne un per firing ker ke beesiyon ko zakhmi ker diya",H
bharat ne apney hi logon ke khilaf jung cheir rakhi hai,H
"arundhati roy ka kehna hai ke kashmir, manipur, nagaland, mizoram, telangana, punjab, goa aur hyderabad mein bhi bharti hakumat ne jung cheir rakhi hai",H
muslim legue noon aur peoples party eik qadam aagey to do qadam peechey chali jati hein aur isi tarah donon parties ke qaideen ke biyaniye mein bhi wazeah faraq hai,H
boxer amir khan ka kehna hai ke puri dunya mein kashmir ka safeer ban ker jaon ga,N
"opposition leader ka kehna hai ke opposition arkaan ko kashmiri na samjha jaye, hamein bhi wazeer e aala hamara haq dein",H
imran sahab zara ye bhi bta dein ke jo log mehengai se tung hein unhen kis waqt aur kahan kharey hona hai?,H
imran sahab yeh bhi bata dein ke mulki maeshiyat ki tabahi ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab eik saal mein 7600 arab rupey ke tareekhi qarzey ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab mulk ko IMF girwi rakhney ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab eik saal mein taraqqi ki sharah aadhi aur mehengai teen guna honey ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab eik saal mein hakumati akhrajaat mein 1100 arab izaafey ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab peshawar metro ke eik arab ke khaddon aur eik arab darakhton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab gas aur bijli ke billon aur adviyaat ki qeemton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,H
imran sahab eik crore nokri aur pachaas lakh ghar mein se eik bhi nokri aur ghar nah milney ke khilaf kis waqt aur kahan kharey hona hai?,H
nawaz sharif ki sehat ko khatraat per matlooba ambulance denay se inkaar ki khabar imran hakumat ke inteqaam aur choteypan ka wazeah saboot hai,H
nawaz sharif ko hangaami tibbi imdaad mein jaan boojh ker hakumati laparwaahi aur ghaflat ka rawayya mujrimaana hai,H
2 sarkari haspataalon ka imraaz e qalab ki munasib machinon se lais ambulance faraham kernay se inkaar siyasi inteqaam ki taazah misaal hai,H
siyasi mukhalfat per sehat ki sangeen soortehaal se dochaar shakhs se elaaj chen'na qatal ki sazish hai,H
qabaili izlaa se nomuntakhib 19 arkaan e assembly ne halaf utha liya,N
paskistani gaaney churaney per mehwish hayat bollywood per phat paren,H
"moharam ul haram ke moqey per 1 lakh 39 hazar police ahelkaar duty dein gey, fouj aur rangers bhi mojood hun gey",N
karachi mein kachra hai ya kachrey mein karachi hai?,H
"kachrey ki siyasat ne sab kuch kachra ker diya, karachi mein gandagi ke dhair aur aalooda pani ne beemariyan phela dein",H
karachi mein kachrey ki wajah se bachon ki beemariyon mein teen guna izafa ho gaya hai,H
"MQM aur PSP karachi ke kachrey per lar rahi hein, PTI bhi jhagrey mein shamil ho gayi hai",H
"PTI walon ne jo kachra uthaya wo shahrahon ke qareeb daal diya, jis se makhiyan barh gayi",H
bharat se baat kernay ka sawal hi paida nahi hota aur nah hi bharti hum mansab mein baat kernay ki jurrat hai,H
whatsapp ke zariye adliya ke faisley musallat kiye ja rahey hein,H
hakumat har haal mein rana sanaullah ko qaid rakhna chahti hai,H
wazarat e qanoon ne adaalti nizaam per hamlah kiya,H
amreeki news anchor ne apney siyah fam saathi ko gorilla keh diya,H
imran khan ko pakistan ka hitler nahi ban'ney dein gey,H
2018 mein khawateen ke 20 hazaar ghareelu tashaddud ke cases samney aye,H
"bharat ko muashi maidaan mein bhi bara jhatka, pakistnai awam ne bharti masnuat ka boycott ker diya",H
punjab gujar khan ke elaaqey mein england se aye family ko qabza mafia ne maar maar ker lahulohaan ker diya,H
"puraney pakistan mein piyaz kat'tey waqt aansoo aatey thy, naye pakistan mein piyaz khareedaty waqt aaty hein",H
fizai hadood band kernay se bharat ko 18 arab rupey ka nuqsan huwa tha,H
"afghanistan mein aman ke hawaley se achi khabar, taliban aur amreeki wafd mein jald muahidah honay ka imkaam",N
"safaak, bhairiya aur khoonkhuwar modi sirf is soch ka haamil hai ke hindu dut ko ujaagar kiya jaye",H
modi ne gaye ko le janey wala musalmaan wajib ul qatal bana diya hai,H
mein is october ke akhir mein pakistan aur hindustan mein jung hoti huwi dekh raha hun,H
shadeed barishon ki wajah se kal tamam nijji schools band rakhney ka elaan,N
"kashmiriyon pe honay waley zulm per india ke ander se bhi awazen uth rahi hein, wahan ki civil society aur opposition ehtijaj ker rahi hai",H
"beghairat log ameer ke bachey bethay pizza khaa rahey hein, driver bechara hasrat se kuttey ki tarah dekh raha hai",H
jo modi ker raha hai us se tamam hindustani riyasaton mein bechani paida ho gai hai,H
noon legue awam ko nawaz sharif ki sehat per gumrah na karey,H
"afghan taliban ka kehna hai ke samjhotey ke qareeb hein, musalmaan aur azadi pasand jald achi khabar sunen gey",N
karachi ke mukhtalif elaaqon mein tez hawaon ke sath halki aur tez barish,N
ICC ki janib se ben stokes ko cricket ki tareekkh ka sab se azeem khilari qaraar denay per sachin tendulkar ke madah bharak uthey,N
maqbooza kashmir ki soortehaal pressure cooker jesi hai,H
maqbooza waadi mein soortehaal roz baroz abter hoti ja rahi hai,H
kashmiriyon ke haq mein aur modi ke khilaf tamam minorities muttahid hein,H
maqbooza kashmir mein kashmiriyon ko curfew aur pabandiyon se mehsoor ker diya gaya hai,H
narendra modi ne khittey mein aman ke mahol ko khatrey mein daal diya hai,H
bharti adaalat ne nah hi kashmiriyon ko relief diya aur nah hi curfew hataney aur giraftaariyan rokney ka hukam diya,H
hindustan mukammal tor per hindu janooni mulk bn chuka hai aur aalami aman ke liye khatra hai,H
lagta hai selected wazer e azam ko faisley bhi selected chahiyen,H
maryam aurangzeb ne rana sanaullah ke maqadmey ki samaat ke doran judge ki tabdeeli ki muzammat aur adliya per hamla qarar diya,H
imran sahab rana sana ke khilaf case saabit nah ker sakey to judge hi tabdeel ker diya,H
trial court judgon ki tabdeeli ka mashkook tareeqahkaar azad adliya per badtareen hamlah hai,H
"kisi judge ka video scandal hai to kisi ka whatsapp pegham per tabadlah, yeh hai naye pakistan ka haal",H
"qoum ko pegham mil gaya ke jab muqadmah jaali ho, koi corruption saabit nah ho aur mulzim ka taaluq opposition bilkhasoos noon legue se ho aur qanoonan saza nah ho sakti ho tou judge badal do",H
"ahsan iqbal ne kaha ke lagta hai selected wazeer e azam ko addalten, judge aur faisley bhi selected chahiyen",H
"jab vote perta hai to seaten nikalti hein aur jab aur zayada vote perta hai to aur zayada seaten nikalti hein aur jab sb se zayada vote perta hai to imran khan wazeer e azam bn jaty hein. Aap bs fielding karen, bat imran khan ke haath mein hai",H
jaali aamil ne malaysian khatoon se 20 lakh rupey hathya liye,H
"switzerland ""modi dehshat gard"" ke naaron se goonj utha",H
karachi mein gujjar naaley ki safai media per jhoota propaganda kernay walon ko chup kraney ke liye kafi hai,H
"soobey mein zaraat ka koi parsaan e haal nahi hai. Ganney, gandum, aalu sameet zarai ijnaas ki qeemton mein koi izafa nahi huwa",N
sugar mill malkaan ke khilaf karwai ki bajaye unhen cheeni ki manmaani qeemten wasool kernay ke liye dheel de di hai,H
"sarkoun, taleem, sehat sameit deegar shoboun mein guzishtah hakumat ke mansubon ko khatam ker diya gaya",N
sab se bebas shakhs woh hai jo dua nahi mangta,N
"kabhi bhi kamyabi ko dimagh mein aur nakami ko dil mein jagah nah dena, kyun ke kamyabi dimagh mein takabbur aur nakami dil mein mayusi paida ker deti hai",N
pakistan ka neya ghanavi missile zameen se zameen 290km tak apney hadaf ko kamyabi se nishanah bana sakta hai,N
"pakistan kashmir ke maamley per kabhi baat cheet se peechey nahi hata, bharat dou tarfa baat cheet ke liye kabhi tayar nahi hota",H
"kashmir ki soortehaal bharat ke hath se nikalney lagi, sakht pabandiyon ke bawajood kashmir mein muzahirey jaari hein",H
dunya ka ameer shakhs wohi hai jis ke dost mukhlis houn,N
kuch gundey hamari choti behen ko ghasseet ker le gaye aur zabardasti islam qabool karwaya,H
shadeed negative insaan ho tum,H
archer aur smith ne eik dusrey per lafzi bouncers ki bochaar ker di,H
"smith ka kehna tha ke archer sirf bounsers se meray ser ko nishanah bana saktey hein, woh meri wicket nahi le saktey, jab ke doosrey bowlers kai martabah mujhe out ker chukey hein",H
jo baligh musalmaan nojawan jihad ke liye nahi nikalta usey saza deni chahiye,H
"maqbooza kashmir bharat ka androoni mamlah nahi hai, wo dunya ko bewakoof bananey ki koshish ker raha hai",H
80 lakh kashmiri taqreeban 4 hafton se curfew ke ander band hein,H
"bharat mein hitler ka falsafah parwaan charh raha hai, jo khittey aur dunya ke liye khatrey se kam nahi",H
"bharat ki fascist hakumat ke control mein johari aslehah dunya ke liye sangeen khatrah hai, bharti hakumat ka anaaripan dunya ko khatarknaak soortehaal se dochaar ker sakta hai",H
masail ke dou tarfah hal ke shimla muahidey per dastakhat ke bawajood bharat iski tamam shiqon ki khilaf warzi ker raha hai,H
"BRT mansoobey mein awam ke tax se jama croron rupey doob chukey hein, mansoobey mein corruption sab ke samney hai lekin kisi idaarey mein BRT mansoobey ka notice lenay ki jurrat nahi",H
NAB kath putli ban chuka hai,H
maqbooza waadi mein zindagi ka pehiya jaam hai aur bharti fouj muzahireen ko palette gun se nabeena ker rahi hai,H
maqbooza waadi mein modi sarkar sab acha ka raag alaap rahi hai lekin muqaami afraad ka kehna hai ke maqbooza waadi mein dukaanen aur school sab band hein,H
haq e khoodariyat ke liye ehtijaj kertay kashmiriyon per bharti fouj shelling aur pallet gunon se firing ker rahi hai,H
kayi kashmiri pallet gunon ke charrey lagney se nabeena ho rahey hein,H
maqbooza waadi mein kath putli intezamiya ne bari tadaad mein kashmiriyon ki giraftaari ka aitraaf kiya,H
maqbooza kashmir mein musalmaanon ki azadi salab kernay ko bharti media saraah raha hai,H
in ahmekaanah iqdamaat per bharti media ki himayat se modi sarkar mazeed nidar ho gayi hai,H
"pehly bharat mein musalman akiliyat per gaye ke naam per hamley aur tashaddud kiya gaya, jis ke baad maqbooza kashmir per hamlah kiya gaya",H
"maqbooza waadi mein guzishtah teen haftoun mein jitni amwaat huin, itni saal bhar mein nahi huin",H
article 370 ke khaatmey ke baad maqbooza kashmir mein modi sarkar ke khilaf teen hafton mein 500 muzahirey ho chukey hein,H
"bharti foj chaadar aur chaar deewari ka taqaddus pamaal kernay pe tulli hui hai, giraftaar logon se milney aaney walon ke bazuon per khufyah muhar lagai jati hai",H
inteha pasand modi dunya ke aman ko tabah ker raha hai,H
"modi nafrat, zulm aur jabar ki aaloodgi phela ker insani zindagi aur bahimi baqa ke mahol ko tabah ker raha hai",H
kashmir mein zulm o barbariyat insani tareekh mein eik badqismat baab ka izafah hai,H
selected hakumat 3 hazar ka khasarah kesay poora karey gi?,H
record budget khasarah nalaiq wazeer e azam aur unki team ki naehli ka nateejah hai,H
"petrol qeemton ke zariye awam ko donon hathon se loota ja raha hai, ab berozgari bhook o iflaas ka sonami jaari hai",H
modi ne khud ko insaniyat ka qaatil saabit ker diya,H
maqbooza waadi mein curfew ke sath fouj ne kashmiriyon ki nasal kashi ke naye intezamaat ker liye,H
kashmir hour kashmiriyon ke liye utna hi faideymand hai jitna earth hour zameen ke liye hota hai,H
jammu kashmir mein siyasi rehnumaon sameet 10 hazar shehri giraftaar ker liye gaye hein,H
kashmiri police ahelkaaron se sarkaari aslehah le ker unhen sideline ker diya gaya. kashmiri police ka kehna hai ke unki haisiyat bharti foujiyon ke madadgaar ki si reh gayi hai,H
"maqbooza waadi ki soortehaal aatish fishan ke mutraadif hai joh phatney ko tayar hai, giraftaariyon ne kashmiri khandaanon ki zindagi tabah ker di hai",H
afsos se kehna perta hai ke jab musalmaanon per zulm hota hai tou dunya khamosh rehti hai,H
"jis tarah german nazi samajhtey thy ke dosron ko mulk se nikal do ya qatal karo, yehi RSS ka nazaryah hai",H
RSS musalmaanon ki nafrat mein banai gayi,H
main narendra modi ko wazeah ker deta hun ke agar azad kashmir mein kuch kiya to eent ka jawab pathar se dein gey,H
"pak fouj tayar hai, bharat ko bharpoor jawab dein gey",H
"hindustan mein aaj sirf musalmaanon per hi nahi, maseehi baradari per bhi zulm ho raha hai",H
"kashmir per koi master plan nahi bana, modi ka jo bhi yaar hai gadhaar hai",H
trump pakistan aur bharat donon ko dhoka de raha hai,H
modi hitler ke iqdaam se kashmir ki azaadi ke din qareeb aa gaye hein,H
maleeha lodhi ka kehna hai ke pallet guns se maqbooza kashmir mein sainkron bachey benai se mehroom ho gaye hein,H
"imran hakumat ne awam ko kuch deliver nahi kiya, betahashah mehengai se ghareebon ke gharon ke choolhey thandey per gaye hein",H
PPP imran khan ke ouchey hathkandoun se darney wali nahi hai,H
wazeer e qanoon ki kashmir house mein senior judge se mulakaat per hakumati khamoshi aitraaf e jurm hai,H
"RSS sirf hindu baaladasti per yakeen rakhti hai. Yeh log musalmaanon, eisaiyon sameet kisi ko bhi barabar ka shehri nahi mantey",H
agar kashmiri musalmaan nah hotey tou sari dunya ne shor macha dena tha aur unka sath dena tha,H
"sabar ki dou soorten hein, jo pasand nah ho usey bardasht kerna aur jo pasand ho uska intezar kerna",N
kashmir jal raha tha aur pakistani hakumat kharey ho ker syron baja rahi thi,H
maqbooza kashmir ki haisiyat yaktarfah tabdeel kernay ki policy modi sarkar ke galey per gayi,H
yak zuban ho ker kashmiriyon ki awaz banen gey to dunya suney gi,N
aakhari saans tak kashmiriyon ka sath dein gey,N
"mujhe beemar walid se milney se rok diya gaya, mujhe dekh ker hospital ke darwaazey band ker diye gaye aur dhakkey diye gaye",H
"bharti forces ki jaanib se 12 saalah bachey ko haraasat mein le ker peeta ja raha tha, khawateen ke sath ziyadati ho rahi hai, larkoun ko electric shocks diye ja rahey hein, kia ye sab mamool ke mutabik hai?",H
javed miandad modi sarkar ke khilaaf talwaar le ker maidaan mein aa gaye,H
qaatil bharti fouj ne srinagar mein search operation ki aar mein firing ker ke nojawan ko shaheed ker diya,H
is hakumat ko mazeed waqt dena pakistan ki salamati ko dao per laganey wali bat hai,H
"jo kuch bhi kashmir mein huwa aur mazeed ho raha hai, us per eik indian honay per mujhe sharam mehsoos ho rahi hai",H
waalid se mulakaat ke doran police ahelkaar bar bar aye aur kaha ke yahan se dafah ho jao,H
"ji bhar ke jhoot bolen, apko sab jaiz hai mohtarmah",H
"kashmiriyon mein ghussa aur afwaahein janam le rahi hein, soortehaal abter hoti ja rahi hai",H
bharat kashmir ko nuclear flashpoint bana chuka hai,H
"modi ki islam dushmani belagaam, lakhon musalmaan bharti shehriyat se mehroom",H
"kashmiri walidain pareshan hein, bharti fouj dhara dhar kam umer nojawanon ko giraftaar ker rahi hai",H
bharat ke musallah fouji raat ke andherey mein gharon ki deewarein phalang ker larkon ko giraftaar ker rahey hein,H
"bachoun ko girafaar kernay wala bharat kuch bhi ker sakta hai, isiliye kashmir ke har ghar mein khof ka dera hai",H
"farhan in hazaron kashmiiyon mein se eik hai jo beghair ilzaam jailon mein hein, maa naziya roz betay se milney thaaney jati hai lekin mulakaat roz nahi hoti",H
"waadi mein jesa zulm aaj ho raha hai, iski misaal pehlay nahi milti",H
"pehly giraftaariyan pathar maarney pe hoti theen, ab sirf pathar maarney ke shabay mein dhar liya jata hai",H
